,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
1053,1179,UEI-IMD-FL-1984-0036,15-06-1984,15-06-1984,0,heavy rains,,"Kottayam, Wynad",Kerala,,,,,8,25,,,"25 people injured when a bus overturned in Murattupazha, A family having 8 members died when their house submerged under water at Puthupaddy, 40 km east of Kozhikode ","i)Low lying areas submerged ii)Several roads damaged, Several roads washed away",IMD,
1054,1180,UEI-IMD-FL-1984-0037,16-06-1984,16-06-1984,0,heavy rains,,"Kozhikode, Palghat",Kerala,,,,,4,,,,"2 fishermen drowned in sea, 2 boys killed in a house collapse at Karimba near Mannarghat","Widespread damage occured to agricultural property, Standing crops extensively damaged",IMD,
1055,1181,UEI-IMD-FL-1984-0038,17-06-1984,17-06-1984,0,heavy rains,,"Alleppey, Cannanore, Malappuram",Kerala,,,,,6,4,,,"2 fishermen drowned at Punnapara, 2 persons drowned and 1 women electrocuted in Tellichery, 1 person died and 4 injured in Perinthalamanna",Extensive damage to agriculture reported,IMD,
1056,1182,UEI-IMD-FL-1984-0039,17-06-1984,28-06-1984,11,heavy rains,,Ernakulam,Kerala,,,,,17,,,,17 persons died,,IMD,
1057,1183,UEI-IMD-FL-1984-0040,18-06-1984,18-06-1984,0,heavy rains,,Alleppey,Kerala,,,,,,,,,,i)Paddy and other crops in about 1000 hectares land badly damaged ii)Hundreds of trees uprooted,IMD,
1058,1184,UEI-IMD-FL-1984-0041,1/7/1984,3/7/1984,2,heavy rains,,Wynad,Kerala,,,,,16,,,,16 people died,i)50 hectares of land burried under the debris as huge mass of rock and earth crushing down from the hill on 2nd ii)80 houses destroyed in Kelpatta and Vengapally iii)Plantation crop in 41 hectares submerged in Mundakayil estate,IMD,
1059,1185,UEI-IMD-FL-1984-0042,5/10/1984,5/10/1984,0,heavy rains,,Alleppey,Kerala,,,,,2,,,,A 60-year old man and 2-year old boy drowned when a country boat capsized in Vembanad lake off Thuravur,,IMD,
1060,1186,UEI-IMD-FL-1984-0043,6/10/1984,8/10/1984,2,heavy rains,,Kozhikode,Kerala,,,,,17,,,,17 people killed in landslide,i)Many huts collapsed ii)Widespread damage to roads and crops reported,IMD,
1061,1187,UEI-IMD-FL-1984-0044,23-07-1984,24-07-1984,1,heavy rains,,Indore,Madhya Pradesh,,,,,6,,,,6 persons including 2 children died in separate incidents of house collapse,,IMD,
1062,1188,UEI-IMD-FL-1984-0045,3/8/1984,3/8/1984,0,heavy rains,,"Indore, Ujjain",Madhya Pradesh,,,,,,,,,,Many houses collapsed,IMD,
1063,1189,UEI-IMD-FL-1984-0046,5/8/1984,5/8/1984,0,heavy rains,,"Balaghat, Ratlam, Ujjain",Madhya Pradesh,,,,,5,,,,"3 women drowned in river Vainganga 12 km, from Balaghat , 1 person drowned in Namhi nullah , 1 person drowned in Bhurinkhal nullah",,IMD,
1064,1190,UEI-IMD-FL-1984-0047,11/8/1984,11/8/1984,0,"heavy rains, severe",,"Bhopal, Rewa, Vidisha",Madhya Pradesh,,,,,12,,,,12 persons drowned,"i)State capital cut off from all the important towns ii)The road connecting to Indore, Gwalior,Sagar,Jabalpur submerged under water disrupting vehicular traffic , i)Vidisha town cut off from Sironj,Baroda,Sagar and Gyaraspur ii)Betwa bridge near Vidisha submerged under 0.6 metre of water",IMD,
